policy_id,valuation_date,driver_birth_date,driver_age,driver_age_band,vehicle_model_year,vehicle_age,vehicle_age_band,territory,vehicle_type,exposure,claim_count,total_claim_amount,earned_premium,true_annual_frequency,expected_claims_true
1,2026-01-01,1941-01-03,84,65+,2025,1,0-3,Rural,Truck,0.7966,0,0.0,755.77,0.058012,0.046213
2,2026-01-01,1988-01-25,37,25-39,2022,4,4-7,Rural,Sedan,0.495,0,0.0,371.25,0.047092,0.023311
3,2026-01-01,1952-01-16,73,65+,2026,0,0-3,Rural,SUV,0.8727,0,0.0,719.98,0.048344,0.04219
4,2026-01-01,1954-01-21,71,65+,2007,19,13+,Urban B,Sedan,0.7276,0,0.0,660.3,0.113527,0.082602
5,2026-01-01,1960-02-14,65,65+,2022,4,4-7,Suburban,SUV,0.1848,0,0.0,152.46,0.073125,0.013514
6,2026-01-01,1996-06-20,29,25-39,2025,1,0-3,Suburban,Sedan,0.9781,0,0.0,733.58,0.051465,0.050338
7,2026-01-01,1970-04-19,55,40-64,2008,18,13+,Urban A,SUV,0.785,0,0.0,735.94,0.108152,0.084899
8,2026-01-01,1984-10-02,41,40-64,2007,19,13+,Rural,Sedan,0.8075,0,0.0,605.62,0.04699,0.037945
9,2026-01-01,1979-04-21,46,40-64,2012,14,13+,Suburban,Truck,0.2153,0,0.0,185.7,0.080554,0.017343
10,2026-01-01,1996-04-07,29,25-39,2015,11,8-12,Suburban,Sedan,0.5053,0,0.0,378.98,0.06963,0.035184
11,2026-01-01,1943-07-29,82,65+,2022,4,4-7,Urban A,SUV,0.4337,0,0.0,447.25,0.117812,0.051095
12,2026-01-01,1990-05-05,35,25-39,2021,5,4-7,Urban A,Truck,0.9341,0,0.0,1007.08,0.130065,0.121494
13,2026-01-01,1959-08-01,66,65+,2020,6,4-7,Rural,Sedan,0.6795,0,0.0,560.59,0.051188,0.034782
14,2026-01-01,2002-02-16,23,16-24,2017,9,8-12,Urban A,Sedan,0.8405,0,0.0,1142.55,0.231678,0.194726
15,2026-01-01,1963-10-22,62,40-64,2019,7,4-7,Urban A,SUV,0.4991,0,0.0,467.91,0.080112,0.039984
16,2026-01-01,1963-02-24,62,40-64,2010,16,13+,Suburban,Sports,0.3045,0,0.0,331.14,0.124188,0.037815
17,2026-01-01,1990-03-27,35,25-39,2018,8,8-12,Suburban,Truck,0.5991,0,0.0,516.72,0.092839,0.05562
18,2026-01-01,1974-09-22,51,40-64,2014,12,8-12,Urban A,Sedan,0.1574,0,0.0,147.56,0.082916,0.013051
19,2026-01-01,1988-11-03,37,25-39,2020,6,4-7,Urban A,Sports,0.8449,1,3774.75,1148.54,0.200517,0.169417
20,2026-01-01,1993-06-02,32,25-39,2020,6,4-7,Suburban,Sedan,0.6685,0,0.0,501.38,0.060548,0.040476
21,2026-01-01,1972-01-26,53,40-64,2011,15,13+,Rural,Sedan,0.7823,0,0.0,586.72,0.04699,0.03676
22,2026-01-01,1967-07-25,58,40-64,2016,10,8-12,Urban B,SUV,0.4191,0,0.0,345.76,0.073068,0.030623
23,2026-01-01,1967-09-27,58,40-64,2018,8,8-12,Suburban,SUV,0.9736,0,0.0,730.2,0.057184,0.055674
24,2026-01-01,1961-01-27,64,40-64,2025,1,0-3,Urban B,Sedan,0.9038,0,0.0,745.64,0.048606,0.04393
25,2026-01-01,1967-05-16,58,40-64,2008,18,13+,Suburban,SUV,0.8005,0,0.0,600.38,0.067129,0.053737
26,2026-01-01,1983-08-05,42,40-64,2016,10,8-12,Suburban,Sedan,0.2752,0,0.0,206.4,0.051465,0.014163
27,2026-01-01,1942-08-01,83,65+,2016,10,8-12,Rural,Sedan,0.52,0,0.0,429.0,0.058866,0.03061
28,2026-01-01,1946-12-09,79,65+,2020,6,4-7,Suburban,Sports,0.1394,0,0.0,166.76,0.135281,0.018858
29,2026-01-01,1980-03-03,45,40-64,2014,12,8-12,Urban B,SUV,0.2389,0,0.0,197.09,0.073068,0.017456
30,2026-01-01,1944-07-07,81,65+,2019,7,4-7,Urban A,Sedan,0.7147,0,0.0,737.03,0.106031,0.075781
31,2026-01-01,1942-03-14,83,65+,2022,4,4-7,Rural,SUV,0.7703,0,0.0,635.5,0.056875,0.043811
32,2026-01-01,1966-10-09,59,40-64,2015,11,8-12,Urban A,Sedan,0.9708,0,0.0,910.12,0.082916,0.080495
33,2026-01-01,1963-12-03,62,40-64,2016,10,8-12,Suburban,Sedan,0.3932,0,0.0,294.9,0.051465,0.020236
34,2026-01-01,1998-12-29,27,25-39,2024,2,0-3,Urban B,SUV,0.4334,0,0.0,357.56,0.073068,0.031668
35,2026-01-01,1990-05-22,35,25-39,2017,9,8-12,Urban A,Sports,0.5226,0,0.0,710.41,0.230594,0.120509
36,2026-01-01,1998-02-03,27,25-39,2008,18,13+,Suburban,Sedan,0.2705,0,0.0,202.88,0.081739,0.02211
37,2026-01-01,1996-04-10,29,25-39,2019,7,4-7,Urban B,Sedan,0.2169,0,0.0,178.94,0.077366,0.016781
38,2026-01-01,1964-05-01,61,40-64,2017,9,8-12,Rural,SUV,0.5281,0,0.0,396.08,0.044476,0.023488
39,2026-01-01,1993-06-28,32,25-39,2023,3,0-3,Urban A,Sedan,0.3042,0,0.0,285.19,0.082916,0.025223
40,2026-01-01,1984-11-20,41,40-64,2014,12,8-12,Urban A,Sedan,0.7028,0,0.0,658.88,0.082916,0.058274
41,2026-01-01,1981-06-11,44,40-64,2023,3,0-3,Urban A,SUV,0.4934,0,0.0,462.56,0.068096,0.033598
42,2026-01-01,2001-08-16,24,16-24,2015,11,8-12,Urban B,Truck,0.8494,0,0.0,1168.51,0.195994,0.166478
43,2026-01-01,1959-11-23,66,65+,2010,16,13+,Suburban,Sedan,0.7302,0,0.0,602.42,0.088847,0.064876
44,2026-01-01,1961-09-22,64,40-64,2018,8,8-12,Urban B,Sedan,0.3811,0,0.0,314.41,0.065761,0.025062
45,2026-01-01,2007-04-24,18,16-24,2021,5,4-7,Urban A,SUV,0.849,0,0.0,1154.11,0.223844,0.190043
46,2026-01-01,1973-03-10,52,40-64,2010,16,13+,Rural,Sedan,0.8243,0,0.0,618.22,0.04699,0.038734
47,2026-01-01,1973-09-11,52,40-64,2023,3,0-3,Urban A,Sedan,0.4487,0,0.0,420.66,0.061286,0.027499
48,2026-01-01,1972-04-22,53,40-64,2021,5,4-7,Urban B,SUV,0.3595,0,0.0,296.59,0.063538,0.022842
49,2026-01-01,1990-01-03,35,25-39,2026,0,0-3,Rural,SUV,0.7142,0,0.0,535.65,0.044476,0.031765
50,2026-01-01,1995-11-22,30,25-39,2019,7,4-7,Suburban,SUV,0.2258,0,0.0,169.35,0.067275,0.015191
